file_name,d1p,d1v,file_name_with_attributes
ToyCar/test/section_04_0000.wav,speed,31V,ToyCar/test/section_04_source_test_anomaly_0036_car_F2_spd_31V_mic_1_noise_6.wav
ToyCar/test/section_04_0001.wav,speed,28V,ToyCar/test/section_04_target_test_normal_0000_car_F1_spd_28V_mic_1_noise_6.wav
ToyCar/test/section_04_0002.wav,speed,40V,ToyCar/test/section_04_target_test_normal_0026_car_F1_spd_40V_mic_1_noise_6.wav
ToyCar/test/section_04_0003.wav,speed,37V,ToyCar/test/section_04_source_test_normal_0038_car_F1_spd_37V_mic_1_noise_6.wav
ToyCar/test/section_04_0004.wav,speed,31V,ToyCar/test/section_04_source_test_anomaly_0012_car_F1_spd_31V_mic_1_noise_6.wav
ToyCar/test/section_04_0005.wav,speed,31V,ToyCar/test/section_04_source_test_normal_0030_car_F1_spd_31V_mic_1_noise_6.wav
ToyCar/test/section_04_0006.wav,speed,28V,ToyCar/test/section_04_target_test_normal_0006_car_F1_spd_28V_mic_1_noise_6.wav
ToyCar/test/section_04_0007.wav,speed,28V,ToyCar/test/section_04_target_test_anomaly_0015_car_F1_spd_28V_mic_1_noise_6.wav
ToyCar/test/section_04_0008.wav,speed,28V,ToyCar/test/section_04_target_test_anomaly_0045_car_F2_spd_28V_mic_1_noise_6.wav
ToyCar/test/section_04_0009.wav,speed,31V,ToyCar/test/section_04_source_test_anomaly_0018_car_F1_spd_31V_mic_1_noise_6.wav
ToyCar/test/section_04_0010.wav,speed,28V,ToyCar/test/section_04_target_test_normal_0011_car_F1_spd_28V_mic_1_noise_6.wav
ToyCar/test/section_04_0011.wav,speed,31V,ToyCar/test/section_04_source_test_anomaly_0032_car_F2_spd_31V_mic_1_noise_6.wav
ToyCar/test/section_04_0012.wav,speed,37V,ToyCar/test/section_04_source_test_anomaly_0040_car_F1_spd_37V_mic_1_noise_6.wav
ToyCar/test/section_04_0013.wav,speed,40V,ToyCar/test/section_04_target_test_anomaly_0019_car_F2_spd_40V_mic_1_noise_6.wav
ToyCar/test/section_04_0014.wav,speed,37V,ToyCar/test/section_04_source_test_anomaly_0029_car_F1_spd_37V_mic_1_noise_6.wav
ToyCar/test/section_04_0015.wav,speed,31V,ToyCar/test/section_04_source_test_anomaly_0034_car_F2_spd_31V_mic_1_noise_6.wav
ToyCar/test/section_04_0016.wav,speed,28V,ToyCar/test/section_04_target_test_anomaly_0012_car_F1_spd_28V_mic_1_noise_6.wav
ToyCar/test/section_04_0017.wav,speed,31V,ToyCar/test/section_04_source_test_normal_0020_car_F1_spd_31V_mic_1_noise_6.wav
