file_name,d1p,d1v,file_name_with_full_attributes
bearing/test/section_04_0000.wav,loc,H,bearing/test/section_04_target_test_anomaly_0000_vel_8_loc_H.wav
bearing/test/section_04_0001.wav,loc,A,bearing/test/section_04_source_test_anomaly_0001_vel_16_loc_A.wav
bearing/test/section_04_0002.wav,loc,E,bearing/test/section_04_target_test_normal_0002_vel_8_loc_E.wav
bearing/test/section_04_0003.wav,loc,G,bearing/test/section_04_target_test_normal_0003_vel_16_loc_G.wav
bearing/test/section_04_0004.wav,loc,E,bearing/test/section_04_target_test_normal_0004_vel_8_loc_E.wav
bearing/test/section_04_0005.wav,loc,D,bearing/test/section_04_source_test_normal_0005_vel_16_loc_D.wav
bearing/test/section_04_0006.wav,loc,G,bearing/test/section_04_target_test_anomaly_0006_vel_8_loc_G.wav
bearing/test/section_04_0007.wav,loc,E,bearing/test/section_04_target_test_normal_0007_vel_8_loc_E.wav
bearing/test/section_04_0008.wav,loc,H,bearing/test/section_04_target_test_normal_0008_vel_8_loc_H.wav
bearing/test/section_04_0009.wav,loc,B,bearing/test/section_04_source_test_normal_0009_vel_16_loc_B.wav
bearing/test/section_04_0010.wav,loc,A,bearing/test/section_04_source_test_normal_0010_vel_8_loc_A.wav
bearing/test/section_04_0011.wav,loc,A,bearing/test/section_04_source_test_normal_0011_vel_8_loc_A.wav
bearing/test/section_04_0012.wav,loc,C,bearing/test/section_04_source_test_anomaly_0012_vel_16_loc_C.wav
bearing/test/section_04_0013.wav,loc,G,bearing/test/section_04_target_test_anomaly_0013_vel_8_loc_G.wav
bearing/test/section_04_0014.wav,loc,D,bearing/test/section_04_source_test_anomaly_0014_vel_16_loc_D.wav
bearing/test/section_04_0015.wav,loc,G,bearing/test/section_04_target_test_normal_0015_vel_16_loc_G.wav
bearing/test/section_04_0016.wav,loc,B,bearing/test/section_04_source_test_anomaly_0016_vel_8_loc_B.wav
bearing/test/section_04_0017.wav,loc,C,bearing/test/section_04_source_test_anomaly_0017_vel_16_loc_C.wav
bearing/test/section_04_0018.wav,loc,B,bearing/test/section_04_source_test_anomaly_0018_vel_16_loc_B.wav
bearing/test/section_04_0019.wav,loc,H,bearing/test/section_04_target_test_anomaly_0019_vel_16_loc_H.wav
bearing/test/section_04_0020.wav,loc,A,bearing/test/section_04_source_test_anomaly_0020_vel_8_loc_A.wav
bearing/test/section_04_0021.wav,loc,E,bearing/test/section_04_target_test_anomaly_0021_vel_16_loc_E.wav
bearing/test/section_04_0022.wav,loc,A,bearing/test/section_04_source_test_anomaly_0022_vel_16_loc_A.wav
bearing/test/section_04_0023.wav,loc,E,bearing/test/section_04_target_test_anomaly_0023_vel_8_loc_E.wav
bearing/test/section_04_0024.wav,loc,A,bearing/test/section_04_source_test_anomaly_0024_vel_16_loc_A.wav
bearing/test/section_04_0025.wav,loc,G,bearing/test/section_04_target_test_anomaly_0025_vel_16_loc_G.wav
