file_name,d1p,d1v,file_name_with_full_attributes
fan/test/section_05_0000.wav,n-lv,L2,fan/test/section_05_source_test_anomaly_0000_n-lv_L2.wav
fan/test/section_05_0001.wav,n-lv,L2,fan/test/section_05_source_test_normal_0001_n-lv_L2.wav
fan/test/section_05_0002.wav,n-lv,L2,fan/test/section_05_source_test_normal_0002_n-lv_L2.wav
fan/test/section_05_0003.wav,n-lv,L2,fan/test/section_05_source_test_normal_0003_n-lv_L2.wav
fan/test/section_05_0004.wav,n-lv,L2,fan/test/section_05_source_test_anomaly_0004_n-lv_L2.wav
fan/test/section_05_0005.wav,n-lv,L2,fan/test/section_05_source_test_normal_0005_n-lv_L2.wav
fan/test/section_05_0006.wav,n-lv,L3,fan/test/section_05_target_test_normal_0006_n-lv_L3.wav
fan/test/section_05_0007.wav,n-lv,L3,fan/test/section_05_target_test_anomaly_0007_n-lv_L3.wav
fan/test/section_05_0008.wav,n-lv,L3,fan/test/section_05_target_test_anomaly_0008_n-lv_L3.wav
fan/test/section_05_0009.wav,n-lv,L1,fan/test/section_05_source_test_normal_0009_n-lv_L1.wav
fan/test/section_05_0010.wav,n-lv,L2,fan/test/section_05_source_test_normal_0010_n-lv_L2.wav
fan/test/section_05_0011.wav,n-lv,L3,fan/test/section_05_target_test_anomaly_0011_n-lv_L3.wav
fan/test/section_05_0012.wav,n-lv,L3,fan/test/section_05_target_test_anomaly_0012_n-lv_L3.wav
fan/test/section_05_0013.wav,n-lv,L3,fan/test/section_05_target_test_anomaly_0013_n-lv_L3.wav
fan/test/section_05_0014.wav,n-lv,L2,fan/test/section_05_source_test_anomaly_0014_n-lv_L2.wav
fan/test/section_05_0015.wav,n-lv,L1,fan/test/section_05_source_test_anomaly_0015_n-lv_L1.wav
fan/test/section_05_0016.wav,n-lv,L1,fan/test/section_05_source_test_anomaly_0016_n-lv_L1.wav
fan/test/section_05_0017.wav,n-lv,L1,fan/test/section_05_source_test_normal_0017_n-lv_L1.wav
fan/test/section_05_0018.wav,n-lv,L3,fan/test/section_05_target_test_normal_0018_n-lv_L3.wav
fan/test/section_05_0019.wav,n-lv,L2,fan/test/section_05_source_test_anomaly_0019_n-lv_L2.wav
fan/test/section_05_0020.wav,n-lv,L1,fan/test/section_05_source_test_normal_0020_n-lv_L1.wav
fan/test/section_05_0021.wav,n-lv,L1,fan/test/section_05_source_test_anomaly_0021_n-lv_L1.wav
fan/test/section_05_0022.wav,n-lv,L2,fan/test/section_05_source_test_normal_0022_n-lv_L2.wav
fan/test/section_05_0023.wav,n-lv,L4,fan/test/section_05_target_test_anomaly_0023_n-lv_L4.wav
fan/test/section_05_0024.wav,n-lv,L4,fan/test/section_05_target_test_anomaly_0024_n-lv_L4.wav
fan/test/section_05_0025.wav,n-lv,L3,fan/test/section_05_target_test_anomaly_0025_n-lv_L3.wav
fan/test/section_05_0026.wav,n-lv,L4,fan/test/section_05_target_test_anomaly_0026_n-lv_L4.wav
fan/test/section_05_0027.wav,n-lv,L3,fan/test/section_05_target_test_anomaly_0027_n-lv_L3.wav
fan/test/section_05_0028.wav,n-lv,L3,fan/test/section_05_target_test_anomaly_0028_n-lv_L3.wav
fan/test/section_05_0029.wav,n-lv,L4,fan/test/section_05_target_test_normal_0029_n-lv_L4.wav
fan/test/section_05_0030.wav,n-lv,L3,fan/test/section_05_target_test_normal_0030_n-lv_L3.wav
fan/test/section_05_0031.wav,n-lv,L3,fan/test/section_05_target_test_anomaly_0031_n-lv_L3.wav
fan/test/section_05_0032.wav,n-lv,L2,fan/test/section_05_source_test_normal_0032_n-lv_L2.wav
