file_name,d1p,d1v,file_name_with_full_attributes
slider/test/section_04_0000.wav,ac,0.12,slider/test/section_04_target_test_normal_0000_ac_0.12.wav
slider/test/section_04_0001.wav,ac,0.10,slider/test/section_04_target_test_anomaly_0001_ac_0.10.wav
slider/test/section_04_0002.wav,ac,0.10,slider/test/section_04_target_test_normal_0002_ac_0.10.wav
slider/test/section_04_0003.wav,ac,0.05,slider/test/section_04_source_test_normal_0003_ac_0.05.wav
slider/test/section_04_0004.wav,ac,0.01,slider/test/section_04_target_test_anomaly_0004_ac_0.01.wav
slider/test/section_04_0005.wav,ac,0.04,slider/test/section_04_target_test_normal_0005_ac_0.04.wav
slider/test/section_04_0006.wav,ac,0.04,slider/test/section_04_target_test_normal_0006_ac_0.04.wav
slider/test/section_04_0007.wav,ac,0.04,slider/test/section_04_target_test_anomaly_0007_ac_0.04.wav
slider/test/section_04_0008.wav,ac,0.05,slider/test/section_04_source_test_anomaly_0008_ac_0.05.wav
slider/test/section_04_0009.wav,ac,0.11,slider/test/section_04_source_test_anomaly_0009_ac_0.11.wav
slider/test/section_04_0010.wav,ac,0.11,slider/test/section_04_source_test_normal_0010_ac_0.11.wav
slider/test/section_04_0011.wav,ac,0.07,slider/test/section_04_source_test_anomaly_0011_ac_0.07.wav
slider/test/section_04_0012.wav,ac,0.01,slider/test/section_04_target_test_normal_0012_ac_0.01.wav
slider/test/section_04_0013.wav,ac,0.02,slider/test/section_04_target_test_normal_0013_ac_0.02.wav
slider/test/section_04_0014.wav,ac,0.04,slider/test/section_04_target_test_normal_0014_ac_0.04.wav
slider/test/section_04_0015.wav,ac,0.07,slider/test/section_04_source_test_normal_0015_ac_0.07.wav
slider/test/section_04_0016.wav,ac,0.12,slider/test/section_04_target_test_anomaly_0016_ac_0.12.wav
slider/test/section_04_0017.wav,ac,0.05,slider/test/section_04_source_test_anomaly_0017_ac_0.05.wav
slider/test/section_04_0018.wav,ac,0.13,slider/test/section_04_target_test_normal_0018_ac_0.13.wav
slider/test/section_04_0019.wav,ac,0.05,slider/test/section_04_source_test_normal_0019_ac_0.05.wav
slider/test/section_04_0020.wav,ac,0.13,slider/test/section_04_target_test_normal_0020_ac_0.13.wav
slider/test/section_04_0021.wav,ac,0.12,slider/test/section_04_target_test_anomaly_0021_ac_0.12.wav
