file_name,d1p,d1v,file_name_with_full_attributes
valve/test/section_04_0000.wav,panel,bs-c,valve/test/section_04_source_test_normal_0000_pat_04_panel_bs-c.wav
valve/test/section_04_0001.wav,panel,bs-c,valve/test/section_04_source_test_anomaly_0001_pat_05_panel_bs-c.wav
valve/test/section_04_0002.wav,panel,b-c,valve/test/section_04_target_test_normal_0002_pat_05_panel_b-c.wav
valve/test/section_04_0003.wav,panel,open,valve/test/section_04_source_test_anomaly_0003_pat_05_panel_open.wav
valve/test/section_04_0004.wav,panel,s-c,valve/test/section_04_target_test_anomaly_0004_pat_04_panel_s-c.wav
valve/test/section_04_0005.wav,panel,bs-c,valve/test/section_04_source_test_normal_0005_pat_04_panel_bs-c.wav
valve/test/section_04_0006.wav,panel,b-c,valve/test/section_04_target_test_anomaly_0006_pat_05_panel_b-c.wav
valve/test/section_04_0007.wav,panel,open,valve/test/section_04_source_test_anomaly_0007_pat_04_panel_open.wav
valve/test/section_04_0008.wav,panel,bs-c,valve/test/section_04_source_test_anomaly_0008_pat_04_panel_bs-c.wav
valve/test/section_04_0009.wav,panel,open,valve/test/section_04_source_test_anomaly_0009_pat_05_panel_open.wav
valve/test/section_04_0010.wav,panel,s-c,valve/test/section_04_target_test_normal_0010_pat_04_panel_s-c.wav
valve/test/section_04_0011.wav,panel,bs-c,valve/test/section_04_source_test_normal_0011_pat_04_panel_bs-c.wav
valve/test/section_04_0012.wav,panel,open,valve/test/section_04_source_test_anomaly_0012_pat_04_panel_open.wav
valve/test/section_04_0013.wav,panel,b-c,valve/test/section_04_target_test_anomaly_0013_pat_05_panel_b-c.wav
valve/test/section_04_0014.wav,panel,b-c,valve/test/section_04_target_test_anomaly_0014_pat_04_panel_b-c.wav
valve/test/section_04_0015.wav,panel,s-c,valve/test/section_04_target_test_normal_0015_pat_05_panel_s-c.wav
valve/test/section_04_0016.wav,panel,open,valve/test/section_04_source_test_normal_0016_pat_04_panel_open.wav
valve/test/section_04_0017.wav,panel,b-c,valve/test/section_04_target_test_normal_0017_pat_04_panel_b-c.wav
valve/test/section_04_0018.wav,panel,bs-c,valve/test/section_04_source_test_normal_0018_pat_04_panel_bs-c.wav
valve/test/section_04_0019.wav,panel,open,valve/test/section_04_source_test_normal_0019_pat_05_panel_open.wav
valve/test/section_04_0020.wav,panel,s-c,valve/test/section_04_target_test_anomaly_0020_pat_04_panel_s-c.wav
valve/test/section_04_0021.wav,panel,b-c,valve/test/section_04_target_test_anomaly_0021_pat_04_panel_b-c.wav
valve/test/section_04_0022.wav,panel,bs-c,valve/test/section_04_source_test_anomaly_0022_pat_04_panel_bs-c.wav
valve/test/section_04_0023.wav,panel,bs-c,valve/test/section_04_source_test_normal_0023_pat_04_panel_bs-c.wav
valve/test/section_04_0024.wav,panel,b-c,valve/test/section_04_target_test_anomaly_0024_pat_05_panel_b-c.wav
valve/test/section_04_0025.wav,panel,bs-c,valve/test/section_04_source_test_anomaly_0025_pat_04_panel_bs-c.wav
